Date,Image,Size,Species,Confidence,Morph,Price
202404,e09c44ef94f27743c60a9e7aaab46e60.jpg,undefined,frog,,white,30000.0
202405,ae4369471d5ecdc865bf1e7eee012cff.jpg,undefined,newt,,albino,40000.0
202210,e6b0a9a3a56d071444312b11c49881d1.jpg,undefined,pacman,,green,30000.0
202409,cb1a39623e2751e70943a39681d2fe78.jpg,adult,Salamander,,undefined,75000.0
202409,ece3344eff3edeac0de436c7d3ccb314.jpg,adult,Salamander,,undefined,160000.0
202408,71099aabbcb05c575bf3c7a97a74a513.jpg,subadult,frog,,undefined,60000.0
202408,e5b7b066fd60aa2e25f6ed11b8f4a8b4.jpg,undefined,frog,,undefined,64000.0
202408,07b93ad3e1f277c38dd9f6a31b96fe69.jpg,undefined,frog,,undefined,106000.0
202408,78a969d8ef5bd8232c7c0ec08d86330c.jpg,undefined,frog,,undefined,40000.0
202406,304412d27f54fa60f06712e2e915fbf0.jpg,adult,frog,,white,30000.0
202407,056012314d2e8624ae09888c5d3c033c.jpg,undefined,frog,,undefined,24000.0
202407,5c98dd252eef16d19b163371e9700706.jpg,undefined,frog,,undefined,14000.0
202407,7b7aba6bdd1747ab0f03235ee0663f30.jpg,undefined,Toad,,undefined,14000.0
202403,3cc4670ccd8cea5ac0485c9769820406.jpg,babeadult,pacman,,undefined,50000.0
202403,d831063b003e597a03ce576f48e0035e.jpg,babeadult,pacman,,albino,40000.0
202402,a244cf083b3e0e7e12037115ea030d45.jpg,undefined,Salamander,,undefined,180000.0
202402,dd5af77d3ced993477e77b84529ef235.jpg,undefined,pacman,,berry,15000.0
202311,086c5318e2658e186817396716fcfb59.jpg,undefined,newt,,undefined,40000.0
202311,5468842b9fa4ce3e44797ee5c36d4b13.jpg,undefined,newt,,undefined,16000.0
202311,162c86c6f8229d28ff7c395e49de2f5c.jpg,undefined,Salamander,,undefined,110000.0
202311,890cd827301f254bcb8297cb6ab3ad62.jpg,babeadult,frog,,undefined,130000.0
202311,ada4efee9685556aef8e15354e6a17c3.jpg,baby,frog,,undefined,40000.0
202310,3bd61d5b85bc1199fd61a2f33c2dfc49.jpg,undefined,pacman,,undefined,18000.0
202310,3b59f03b8099fcda87e2a0ec08a1153c.jpg,undefined,Toad,,undefined,8000.0
202310,6b228822f83d8262fc712dc0c97d9690.jpg,undefined,frog,,red,18000.0
202309,10903ac415d6f1b6375f92a8385f9f4e.jpg,babeadult,frog,,undefined,90000.0
202307,bfb08bf334b3a24483e3aa2a1a413983.jpg,undefined,frog,,green,50000.0
202307,3ba8beabcaffbe274e2cf180aa55c8ec.jpg,baby,frog,,red,160000.0
202307,c318a3e12fcebd1d8db71db3c3eaf5b2.jpg,undefined,newt,,normal,24000.0
202306,8d590545ef960d9b0344067eb719d568.jpg,undefined,frog,,white,280000.0
202306,d09db1e4ec868d1f0400aa42078d292b.jpg,adult,frog,,undefined,250000.0
202307,1d359a271510155e069e925c70989c40.jpg,undefined,frog,,green,250000.0
202306,c1153b259f781faa0b489b074b5ed2e5.jpg,undefined,frog,,undefined,180000.0
202305,5ccdf3e74520c2213cf241c8d2cdf11d.jpg,baby,Toad,,undefined,45000.0
202406,40c4da1687eec67966ab86d32276744e.png,babeadult,others,,white,18000.0
202210,7ca267fc0f9d9ffb221f41de133ccf73.jpg,undefined,frog,,undefined,140000.0
202212,f2efdbec09c6189976dfe42573f2bfa5.jpg,undefined,newt,,undefined,220000.0
202211,e50d171b1a89ffe74b26739c4e72ff74.jpg,babeadult,Toad,,undefined,89000.0
202309,b1aa5aaf21d2965c565937f9be9bb2d0.jpg,undefined,others,,green,150000.0
202405,72a34f4c6a7a966d68321cde19071f2b.jpg,undefined,frog,,undefined,14000.0
202209,866ef6315170308be4f0653ec92c6388.jpg,undefined,Salamander,,undefined,80000.0
202312,24520a5654493fa6b165a3014f1f6aea.jpg,undefined,frog,,white,35000.0
202109,015aed7dc726690bd2124cd591ff1f49.jpg,undefined,pacman,,albino,12000.0
202012,9d512a34b4366f6a77051f676b05a026.jpg,undefined,pacman,,berry,30000.0
202310,d300a031485dcd5d814ba386d21ed854.jpg,undefined,pacman,,green,48000.0
202310,596a48f5d504d1f85de8ade06b864b05.jpg,undefined,pacman,,red,48000.0
202306,d3883a3773fed80e2d42d14b939dd6de.jpg,adult,frog,,undefined,150000.0
202212,39524d39022c290f18338bdc98c4e657.jpg,undefined,newt,,undefined,150000.0
201711,319_shop1_225555.jpg,undefined,Toad,,undefined,80000.0
202404,0be868d4748360efcb8d269b417437ed.jpg,undefined,pacman,,albino,28000.0
202404,26c64fbc5e3e4f250eefe8a0a18a6563.jpg,undefined,pacman,,green,28000.0
202404,0e9249288076e9dd403e159095388b0f.jpg,undefined,Salamander,,undefined,65000.0
202404,8ebd005b7c167ac3ddf17cf569f76868.jpg,undefined,frog,,undefined,32000.0
202411,3f80dd5feb5059e55af0a43dfb15505d.jpg,babeadult,beardydragon,,hypo,280000.0
202411,704b1c88e24e5e7115fb26b3bda3d6b6.jpg,babeadult,beardydragon,,hypo,250000.0
202411,3a4281d7923b5e3689939f647bf4210a.jpg,babeadult,beardydragon,,hypo,250000.0
202411,286d44a0416a56cb3c9101fc0fc6dc4b.jpg,baby,crestedgeko,,lily,55000.0
202411,74eadc4309deca55b21a0c5bc193071b.jpg,baby,crestedgeko,,lily,80000.0
202411,4904e8119f3af1db917f2e7e9b70a45f.jpg,baby,crestedgeko,,lily,55000.0
202411,1e1c21b9810f2e85c33778b7638f1ebd.jpg,baby,crestedgeko,,lily,50000.0
202411,0344a53d58f8a0eaf644b5475f6e542a.jpg,baby,crestedgeko,,lily,55000.0
202411,3796fe36232bbf66b5adf2897c7620a0.jpg,baby,crestedgeko,,lily,70000.0
202411,37925d162892a5530353f336a9526f45.jpg,baby,crestedgeko,,lily,70000.0
202411,e40da4e6be5ef77fed6e5d8a36779bfe.jpg,baby,crestedgeko,,lily,60000.0
202411,55ed08f4b1b50c4c5ca31f3c981c2a5b.jpg,baby,crestedgeko,,lily,55000.0
202411,e37441eb73283f07ca158e8de1fcc388.jpg,baby,crestedgeko,,lily,80000.0
202411,b57f689ce4101fcd42f751f660622955.jpg,baby,crestedgeko,,lily,80000.0
202411,07d0b9fa2ce78a1be9927dcff247ad76.jpg,baby,crestedgeko,,lily,60000.0
