path,image_id,image,trans,type,size,morph,price,text,date,,,
/content/drive/MyDrive/thebreeders/image/,e09c44ef94f27743c60a9e7aaab46e60.jpg,/content/drive/MyDrive/thebreeders/image/e09c44ef94f27743c60a9e7aaab46e60.jpg,white tree frock,frog,undefined,white,"30,000",화이트트리프록,202404,,,
/content/drive/MyDrive/thebreeders/image/,ae4369471d5ecdc865bf1e7eee012cff.jpg,/content/drive/MyDrive/thebreeders/image/ae4369471d5ecdc865bf1e7eee012cff.jpg,Albino Spanish Lip Newt,newt,undefined,albino,"40,000",알비노 스패니쉬립 뉴트,202405,,,
/content/drive/MyDrive/thebreeders/image/,e6b0a9a3a56d071444312b11c49881d1.jpg,/content/drive/MyDrive/thebreeders/image/e6b0a9a3a56d071444312b11c49881d1.jpg,green pacman,pacman,undefined,green,"30,000",그린 팩맨,202210,,,
/content/drive/MyDrive/thebreeders/image/,cb1a39623e2751e70943a39681d2fe78.jpg,/content/drive/MyDrive/thebreeders/image/cb1a39623e2751e70943a39681d2fe78.jpg,Bard Tiger Salamander Female,Salamander,adult,undefined,"75,000",바드 타이거 살라멘더 암성체,202409,,,
/content/drive/MyDrive/thebreeders/image/,ece3344eff3edeac0de436c7d3ccb314.jpg,/content/drive/MyDrive/thebreeders/image/ece3344eff3edeac0de436c7d3ccb314.jpg,female tiger salamander,Salamander,adult,undefined,"160,000",타이거 살라멘더 암성체,202409,,,
/content/drive/MyDrive/thebreeders/image/,71099aabbcb05c575bf3c7a97a74a513.jpg,/content/drive/MyDrive/thebreeders/image/71099aabbcb05c575bf3c7a97a74a513.jpg,Budgetfrock babe Semi-adult,frog,subadult,undefined,"60,000",버젯프록 아~준성체,202408,,,
/content/drive/MyDrive/thebreeders/image/,e5b7b066fd60aa2e25f6ed11b8f4a8b4.jpg,/content/drive/MyDrive/thebreeders/image/e5b7b066fd60aa2e25f6ed11b8f4a8b4.jpg,Malay Flying Frog,frog,undefined,undefined,"64,000",말레이 플라잉프록,202408,,,
/content/drive/MyDrive/thebreeders/image/,07b93ad3e1f277c38dd9f6a31b96fe69.jpg,/content/drive/MyDrive/thebreeders/image/07b93ad3e1f277c38dd9f6a31b96fe69.jpg,bird frog,frog,undefined,undefined,"106,000",새똥개구리,202408,,,
/content/drive/MyDrive/thebreeders/image/,78a969d8ef5bd8232c7c0ec08d86330c.jpg,/content/drive/MyDrive/thebreeders/image/78a969d8ef5bd8232c7c0ec08d86330c.jpg,Spotted Literfrog,frog,undefined,undefined,"40,000",스팟티드 리터프록,202408,,,
/content/drive/MyDrive/thebreeders/image/,304412d27f54fa60f06712e2e915fbf0.jpg,/content/drive/MyDrive/thebreeders/image/304412d27f54fa60f06712e2e915fbf0.jpg,White Tree Frog Green Adult,frog,adult,white,"30,000",화이트트리프록 그린 성체,202406,,,
/content/drive/MyDrive/thebreeders/image/,056012314d2e8624ae09888c5d3c033c.jpg,/content/drive/MyDrive/thebreeders/image/056012314d2e8624ae09888c5d3c033c.jpg,Big eye frock,frog,undefined,undefined,"24,000",빅아이프록,202407,,,
/content/drive/MyDrive/thebreeders/image/,5c98dd252eef16d19b163371e9700706.jpg,/content/drive/MyDrive/thebreeders/image/5c98dd252eef16d19b163371e9700706.jpg,leadfrog,frog,undefined,undefined,"14,000",리드프록,202407,,, 
/content/drive/MyDrive/thebreeders/image/,7b7aba6bdd1747ab0f03235ee0663f30.jpg,/content/drive/MyDrive/thebreeders/image/7b7aba6bdd1747ab0f03235ee0663f30.jpg,Common Toad,Toad,undefined,undefined,"14,000",커먼토드,202407,,,
/content/drive/MyDrive/thebreeders/image/,3cc4670ccd8cea5ac0485c9769820406.jpg,/content/drive/MyDrive/thebreeders/image/3cc4670ccd8cea5ac0485c9769820406.jpg,Coffee Pacman subadult,pacman,babeadult,undefined,"50,000",커피팩맨 아성체,202403,,,
/content/drive/MyDrive/thebreeders/image/,d831063b003e597a03ce576f48e0035e.jpg,/content/drive/MyDrive/thebreeders/image/d831063b003e597a03ce576f48e0035e.jpg,Albino Pacman subadult,pacman,babeadult,albino,"40,000",알비노팩맨 아성체,202403,,,
/content/drive/MyDrive/thebreeders/image/,a244cf083b3e0e7e12037115ea030d45.jpg,/content/drive/MyDrive/thebreeders/image/a244cf083b3e0e7e12037115ea030d45.jpg,Fire Salamender Giglioli,Salamander,undefined,undefined,"180,000",파이어살라멘더 기글리올리,202402,,,
/content/drive/MyDrive/thebreeders/image/,dd5af77d3ced993477e77b84529ef235.jpg,/content/drive/MyDrive/thebreeders/image/dd5af77d3ced993477e77b84529ef235.jpg,Strawberry Pacman malocclusion object,pacman,undefined,berry,"15,000",스트로베리 팩맨 부정교합개체,202402,,,
/content/drive/MyDrive/thebreeders/image/,086c5318e2658e186817396716fcfb59.jpg,/content/drive/MyDrive/thebreeders/image/086c5318e2658e186817396716fcfb59.jpg,Chinese Firebelly Newt,newt,undefined,undefined,"40,000",차이니즈 파이어벨리 뉴트,202311,,,
/content/drive/MyDrive/thebreeders/image/,5468842b9fa4ce3e44797ee5c36d4b13.jpg,/content/drive/MyDrive/thebreeders/image/5468842b9fa4ce3e44797ee5c36d4b13.jpg,Chinese Firebelly Newt,newt,undefined,undefined,"16,000",차이니즈 파이어벨리 뉴트,202311,,,
/content/drive/MyDrive/thebreeders/image/,162c86c6f8229d28ff7c395e49de2f5c.jpg,/content/drive/MyDrive/thebreeders/image/162c86c6f8229d28ff7c395e49de2f5c.jpg,Fire Salamender Terrestris,Salamander,undefined,undefined,"110,000",파이어 살라멘더 테레스트리스,202311,,,
/content/drive/MyDrive/thebreeders/image/,890cd827301f254bcb8297cb6ab3ad62.jpg,/content/drive/MyDrive/thebreeders/image/890cd827301f254bcb8297cb6ab3ad62.jpg,Andean pocket frog subadult,frog,babeadult,undefined,"130,000",안데안 주머니개구리 아성체,202311,,,
/content/drive/MyDrive/thebreeders/image/,ada4efee9685556aef8e15354e6a17c3.jpg,/content/drive/MyDrive/thebreeders/image/ada4efee9685556aef8e15354e6a17c3.jpg,pixiefrock baby,frog,baby,undefined,"40,000",픽시프록 베이비,202311,,,
/content/drive/MyDrive/thebreeders/image/,3bd61d5b85bc1199fd61a2f33c2dfc49.jpg,/content/drive/MyDrive/thebreeders/image/3bd61d5b85bc1199fd61a2f33c2dfc49.jpg,coffee pacman,pacman,undefined,undefined,"18,000",커피 팩맨,202310,,,
/content/drive/MyDrive/thebreeders/image/,3b59f03b8099fcda87e2a0ec08a1153c.jpg,/content/drive/MyDrive/thebreeders/image/3b59f03b8099fcda87e2a0ec08a1153c.jpg,African Common Toad,Toad,undefined,undefined,"8,000",아프리칸 커먼토드,202310,,,
/content/drive/MyDrive/thebreeders/image/,6b228822f83d8262fc712dc0c97d9690.jpg,/content/drive/MyDrive/thebreeders/image/6b228822f83d8262fc712dc0c97d9690.jpg,Red and black walking frock,frog,undefined,red,"18,000",레드앤블랙 워킹프록,202310,,,
/content/drive/MyDrive/thebreeders/image/,10903ac415d6f1b6375f92a8385f9f4e.jpg,/content/drive/MyDrive/thebreeders/image/10903ac415d6f1b6375f92a8385f9f4e.jpg,Pixiefrog male subadult male,frog,babeadult,undefined,"90,000",픽시프록 수 아성체,202309,,,
/content/drive/MyDrive/thebreeders/image/,bfb08bf334b3a24483e3aa2a1a413983.jpg,/content/drive/MyDrive/thebreeders/image/bfb08bf334b3a24483e3aa2a1a413983.jpg,Sancheong Frog Forest Green Frog,frog,undefined,green,"50,000",산청개구리 포레스트 그린 프록,202307,,,
/content/drive/MyDrive/thebreeders/image/,3ba8beabcaffbe274e2cf180aa55c8ec.jpg,/content/drive/MyDrive/thebreeders/image/3ba8beabcaffbe274e2cf180aa55c8ec.jpg,Red Eye Treefrock Baby,frog,baby,red,"160,000",레드아이 트리프록 베이비,202307,,,
/content/drive/MyDrive/thebreeders/image/,c318a3e12fcebd1d8db71db3c3eaf5b2.jpg,/content/drive/MyDrive/thebreeders/image/c318a3e12fcebd1d8db71db3c3eaf5b2.jpg,Normal Spanish Lip Newt,newt,undefined,normal,"24,000",노멀 스패니쉬립 뉴트,202307,,,
/content/drive/MyDrive/thebreeders/image/,8d590545ef960d9b0344067eb719d568.jpg,/content/drive/MyDrive/thebreeders/image/8d590545ef960d9b0344067eb719d568.jpg,White Tree Frock Super Snow Flake Quality,frog,undefined,white,"280,000",화이트트리프록 슈퍼스노우플레이크 퀄리티,202306,,,
/content/drive/MyDrive/thebreeders/image/,d09db1e4ec868d1f0400aa42078d292b.jpg,/content/drive/MyDrive/thebreeders/image/d09db1e4ec868d1f0400aa42078d292b.jpg,Dartfrock Bumblebee Bolivar Adult,frog,adult,undefined,"250,000",다트프록 범블비 볼리바 성체,202306,,,
/content/drive/MyDrive/thebreeders/image/,1d359a271510155e069e925c70989c40.jpg,/content/drive/MyDrive/thebreeders/image/1d359a271510155e069e925c70989c40.jpg,Dartfrock Bumblebee Green,frog,undefined,green,"250,000",다트프록 범블비 그린,202307,,,
/content/drive/MyDrive/thebreeders/image/,c1153b259f781faa0b489b074b5ed2e5.jpg,/content/drive/MyDrive/thebreeders/image/c1153b259f781faa0b489b074b5ed2e5.jpg,Dartfrock Bumblebee Guyana Banded,frog,undefined,undefined,"180,000",다트프록 범블비 가이아나 밴디드,202306,,,
/content/drive/MyDrive/thebreeders/image/,5ccdf3e74520c2213cf241c8d2cdf11d.jpg,/content/drive/MyDrive/thebreeders/image/5ccdf3e74520c2213cf241c8d2cdf11d.jpg,Smooth Side Todd Baby,Toad,baby,undefined,"45,000",스무스사이드 토드 베이비,202305,,,
/content/drive/MyDrive/thebreeders/image/,40c4da1687eec67966ab86d32276744e.png,/content/drive/MyDrive/thebreeders/image/40c4da1687eec67966ab86d32276744e.png,Upaluffa white pink subadult,others,babeadult,white,"18,000",우파루파 화이트핑크 아성체,202406,,,
/content/drive/MyDrive/thebreeders/image/,7ca267fc0f9d9ffb221f41de133ccf73.jpg,/content/drive/MyDrive/thebreeders/image/7ca267fc0f9d9ffb221f41de133ccf73.jpg,Tigerleg Monkey Frock,frog,undefined,undefined,"140,000",타이거렉 몽키프록,202210,,,
/content/drive/MyDrive/thebreeders/image/,f2efdbec09c6189976dfe42573f2bfa5.jpg,/content/drive/MyDrive/thebreeders/image/f2efdbec09c6189976dfe42573f2bfa5.jpg,Strauch Newt,newt,undefined,undefined,"220,000",스트라우치 뉴트,202212,,,
/content/drive/MyDrive/thebreeders/image/,e50d171b1a89ffe74b26739c4e72ff74.jpg,/content/drive/MyDrive/thebreeders/image/e50d171b1a89ffe74b26739c4e72ff74.jpg,Myaconis tod subadult,Toad,babeadult,undefined,"89,000",미야코니스 토드 아성체,202211,,,
/content/drive/MyDrive/thebreeders/image/,b1aa5aaf21d2965c565937f9be9bb2d0.jpg,/content/drive/MyDrive/thebreeders/image/b1aa5aaf21d2965c565937f9be9bb2d0.jpg,green packkongi,others,undefined,green,"150,000",그린 팩꽁이,202309,,,
/content/drive/MyDrive/thebreeders/image/,72a34f4c6a7a966d68321cde19071f2b.jpg,/content/drive/MyDrive/thebreeders/image/72a34f4c6a7a966d68321cde19071f2b.jpg,Lime Reed Frock,frog,undefined,undefined,"14,000",라임리드프록,202405,,,
/content/drive/MyDrive/thebreeders/image/,866ef6315170308be4f0653ec92c6388.jpg,/content/drive/MyDrive/thebreeders/image/866ef6315170308be4f0653ec92c6388.jpg,Bard Tiger Salamander,Salamander,undefined,undefined,"80,000",바드 타이거 살라멘더,202209,,,
/content/drive/MyDrive/thebreeders/image/,24520a5654493fa6b165a3014f1f6aea.jpg,/content/drive/MyDrive/thebreeders/image/24520a5654493fa6b165a3014f1f6aea.jpg,White Tree Frock Blue,frog,undefined,white,"35,000",화이트트리프록 블루,202312,,,
/content/drive/MyDrive/thebreeders/image/,015aed7dc726690bd2124cd591ff1f49.jpg,/content/drive/MyDrive/thebreeders/image/015aed7dc726690bd2124cd591ff1f49.jpg,Albino Pac-Man,pacman,undefined,albino,"12,000",알비노 팩맨,202109,,,
/content/drive/MyDrive/thebreeders/image/,9d512a34b4366f6a77051f676b05a026.jpg,/content/drive/MyDrive/thebreeders/image/9d512a34b4366f6a77051f676b05a026.jpg,Strawberry Pac-Man,pacman,undefined,berry,"30,000",스트로베리 팩맨,202012,,,
/content/drive/MyDrive/thebreeders/image/,d300a031485dcd5d814ba386d21ed854.jpg,/content/drive/MyDrive/thebreeders/image/d300a031485dcd5d814ba386d21ed854.jpg,Pacific Green Pacman,pacman,undefined,green,"48,000",퍼시픽 그린 팩맨,202310,,,
/content/drive/MyDrive/thebreeders/image/,596a48f5d504d1f85de8ade06b864b05.jpg,/content/drive/MyDrive/thebreeders/image/596a48f5d504d1f85de8ade06b864b05.jpg,pacific red pacman,pacman,undefined,red,"48,000",퍼시픽 레드 팩맨,202310,,,
/content/drive/MyDrive/thebreeders/image/,d3883a3773fed80e2d42d14b939dd6de.jpg,/content/drive/MyDrive/thebreeders/image/d3883a3773fed80e2d42d14b939dd6de.jpg,Dartfrog Bumblebee Adult,frog,adult,undefined,"150,000",다트프록 범블비 성체,202306,,,
/content/drive/MyDrive/thebreeders/image/,39524d39022c290f18338bdc98c4e657.jpg,/content/drive/MyDrive/thebreeders/image/39524d39022c290f18338bdc98c4e657.jpg,Crocatus Newt,newt,undefined,undefined,"150,000",크로카투스 뉴트,202212,,,
/content/drive/MyDrive/thebreeders/image/,319_shop1_225555.jpg,/content/drive/MyDrive/thebreeders/image/319_shop1_225555.jpg,smooth side toe,Toad,undefined,undefined,"80,000",스무드 사이드 토드,201711,,,
/content/drive/MyDrive/thebreeders/image/,0be868d4748360efcb8d269b417437ed.jpg,/content/drive/MyDrive/thebreeders/image/0be868d4748360efcb8d269b417437ed.jpg,Albino Doc Pacman,pacman,undefined,albino,"28,000",알비노 닥 팩맨,202404,,,
/content/drive/MyDrive/thebreeders/image/,26c64fbc5e3e4f250eefe8a0a18a6563.jpg,/content/drive/MyDrive/thebreeders/image/26c64fbc5e3e4f250eefe8a0a18a6563.jpg,green dot pacman,pacman,undefined,green,"28,000",그린 닷 팩맨,202404,,,
/content/drive/MyDrive/thebreeders/image/,0e9249288076e9dd403e159095388b0f.jpg,/content/drive/MyDrive/thebreeders/image/0e9249288076e9dd403e159095388b0f.jpg,Tiger Salamender Last Marie,Salamander,undefined,undefined,"65,000",타이거 살라멘더 라스트 마리,202404,,,
/content/drive/MyDrive/thebreeders/image/,8ebd005b7c167ac3ddf17cf569f76868.jpg,/content/drive/MyDrive/thebreeders/image/8ebd005b7c167ac3ddf17cf569f76868.jpg,Tomato Frog,frog,undefined,undefined,"32,000",토마토프록,202404,,,
/content/drive/MyDrive/thebreeders/image/,3f80dd5feb5059e55af0a43dfb15505d.jpg,/content/drive/MyDrive/thebreeders/image/3f80dd5feb5059e55af0a43dfb15505d.jpg,Bearded Dragon Hypo Weetbullet Subadult,beardydragon,babeadult,hypo,"280,000",비어디드래곤 하이포 윗블릿 아성체,202411,,,
/content/drive/MyDrive/thebreeders/image/,704b1c88e24e5e7115fb26b3bda3d6b6.jpg,/content/drive/MyDrive/thebreeders/image/704b1c88e24e5e7115fb26b3bda3d6b6.jpg,Bearded Dragon Hypo Zero Subadult Cancer,beardydragon,babeadult,hypo,"250,000",비어디드래곤 하이포 제로 아성체 암,202411,,,
/content/drive/MyDrive/thebreeders/image/,3a4281d7923b5e3689939f647bf4210a.jpg,/content/drive/MyDrive/thebreeders/image/3a4281d7923b5e3689939f647bf4210a.jpg,Bearded Dragon Hypo Zero Sub-Adult male,beardydragon,babeadult,hypo,"250,000",비어디드래곤 하이포 제로 아성체 수,202411,,,
/content/drive/MyDrive/thebreeders/image/,286d44a0416a56cb3c9101fc0fc6dc4b.jpg,/content/drive/MyDrive/thebreeders/image/286d44a0416a56cb3c9101fc0fc6dc4b.jpg,lily baby,crestedgeko,baby,lily,"55,000",릴리 베이비,202411,,,
/content/drive/MyDrive/thebreeders/image/,74eadc4309deca55b21a0c5bc193071b.jpg,/content/drive/MyDrive/thebreeders/image/74eadc4309deca55b21a0c5bc193071b.jpg,lily baby,crestedgeko,baby,lily,"80,000",릴리 베이비,202411,,,
/content/drive/MyDrive/thebreeders/image/,4904e8119f3af1db917f2e7e9b70a45f.jpg,/content/drive/MyDrive/thebreeders/image/4904e8119f3af1db917f2e7e9b70a45f.jpg,lily baby,crestedgeko,baby,lily,"55,000",릴리 베이비,202411,,,
/content/drive/MyDrive/thebreeders/image/,1e1c21b9810f2e85c33778b7638f1ebd.jpg,/content/drive/MyDrive/thebreeders/image/1e1c21b9810f2e85c33778b7638f1ebd.jpg,lily baby,crestedgeko,baby,lily,"50,000",릴리 베이비,202411,,,
/content/drive/MyDrive/thebreeders/image/,0344a53d58f8a0eaf644b5475f6e542a.jpg,/content/drive/MyDrive/thebreeders/image/0344a53d58f8a0eaf644b5475f6e542a.jpg,lily baby,crestedgeko,baby,lily,"55,000",릴리 베이비,202411,,,
/content/drive/MyDrive/thebreeders/image/,3796fe36232bbf66b5adf2897c7620a0.jpg,/content/drive/MyDrive/thebreeders/image/3796fe36232bbf66b5adf2897c7620a0.jpg,lily baby,crestedgeko,baby,lily,"70,000",릴리 베이비,202411,,,
/content/drive/MyDrive/thebreeders/image/,37925d162892a5530353f336a9526f45.jpg,/content/drive/MyDrive/thebreeders/image/37925d162892a5530353f336a9526f45.jpg,lily baby,crestedgeko,baby,lily,"70,000",릴리 베이비,202411,,,
